d1_or_not,primary_position,height,weight,sixty_time,of_velo,player_region,exit_velo_max,throwing_hand,hitting_handedness
0,OF,73.0,165.0,7.07,83.0,Northeast,82.1,R,R
0,OF,73.0,190.0,7.1,75.0,Northeast,92.5,R,R
0,OF,74.0,180.0,6.97,77.0,Midwest,92.4,R,R
1,OF,74.0,190.0,7.35,86.0,West,84.3,R,R
1,OF,72.0,164.0,6.81,89.0,Midwest,97.8,L,L
0,OF,71.0,170.0,6.75,81.0,Midwest,83.9,R,R
0,OF,72.0,170.0,7.04,87.0,Midwest,91.9,R,L
0,OF,71.0,170.0,7.59,81.0,Midwest,87.0,L,L
0,OF,72.0,200.0,6.98,79.0,South,98.0,R,R
0,OF,70.0,170.0,7.08,75.0,West,85.2,R,L
0,OF,73.0,200.0,7.4,77.0,Northeast,92.0,R,L
0,OF,73.0,211.0,7.24,83.0,South,101.1,R,R
1,OF,71.0,175.0,7.334094047546387,,South,92.40576934814452,R,L
0,OF,74.0,180.0,6.96,88.0,Midwest,90.9,R,R
0,OF,70.0,165.0,6.98,81.0,South,92.6,R,R
0,OF,68.0,158.0,7.03,86.0,South,88.5,L,L
1,OF,71.0,165.0,6.82,88.0,South,97.7,R,R
0,OF,73.0,210.0,7.6,75.0,Midwest,95.1,R,R
0,OF,74.0,200.0,7.19,76.0,Midwest,85.0,R,R
0,OF,72.0,190.0,6.6,85.0,Northeast,101.5,R,R
0,OF,68.0,165.0,7.5,83.0,Northeast,86.8,L,L
0,OF,72.0,190.0,7.210227012634277,,South,92.96819305419922,R,R
1,OF,75.0,175.0,6.53,93.0,Midwest,96.6,R,R
1,OF,71.0,165.0,6.83,84.0,South,86.0,R,L
0,OF,74.0,268.0,7.167097091674805,,South,89.99188995361328,R,R
0,OF,72.0,185.0,7.09,90.0,Northeast,89.7,R,L
0,OF,65.0,145.0,7.20094633102417,78.0,Midwest,80.0,R,S
0,OF,75.0,180.0,6.928017616271973,,Northeast,94.2740478515625,R,R
0,OF,74.0,185.0,6.74,86.0,Midwest,88.3,R,R
0,OF,70.0,155.0,7.52,79.0,Midwest,85.0,R,R
0,OF,73.0,175.0,7.3,83.0,Northeast,88.1,R,R
0,OF,69.0,195.0,7.91,75.0,South,91.0,L,L
0,OF,73.0,190.0,7.2,87.0,Midwest,101.4,R,S
0,OF,69.0,195.0,7.062666893005371,,South,95.10454559326172,L,L
0,OF,72.0,190.0,6.99,82.0,Midwest,89.3,R,R
0,OF,69.0,165.0,6.81,83.0,Midwest,89.6,R,R
0,OF,71.0,188.0,7.0987396240234375,75.0,South,95.5,R,R
0,OF,71.0,170.0,7.66,76.0,Midwest,86.3,L,L
0,OF,73.0,155.0,6.98,88.0,South,84.5,L,L
0,OF,75.0,155.0,6.94,87.0,South,82.1,L,L
0,OF,70.0,185.0,6.69,83.0,Midwest,96.6,R,R
0,OF,71.0,190.0,7.35,74.0,South,86.0,R,R
0,OF,72.0,200.0,7.1,82.0,Northeast,86.2,R,R
0,OF,67.0,154.0,7.34,86.0,Midwest,87.0,R,R
0,OF,72.0,180.0,7.78,84.0,Midwest,96.6,R,R
0,OF,76.0,200.0,7.01,82.0,Midwest,96.4,R,R
0,OF,72.0,170.0,6.981488227844238,,Midwest,94.43365478515624,R,L
0,OF,69.0,160.0,6.69,79.0,Northeast,83.9,L,L
0,OF,76.0,190.0,6.9,77.0,Northeast,89.2,R,R
1,OF,73.0,178.8,6.75,87.0,South,97.0,R,R
0,OF,77.0,185.0,7.71,82.0,South,91.4,R,R
0,OF,72.0,170.0,7.06,,South,92.5,R,L
1,OF,71.0,160.0,6.63,76.0,Midwest,87.8,L,L
1,OF,76.0,200.0,7.11,87.0,Northeast,98.5,R,L
0,OF,67.0,165.0,6.99,87.0,South,95.0,R,R
