p4_or_not,primary_position,height,weight,sixty_time,c_velo,pop_time,player_region,exit_velo_max,throwing_hand,hitting_handedness
0,C,71.0,200.0,7.14,80.0,2.0,Midwest,91.0,R,R
0,C,71.0,185.0,7.32,78.0,1.9,Northeast,96.5,R,R
0,C,72.0,185.0,6.67,81.0,2.0,South,94.4,R,R
1,C,75.0,200.0,6.19,80.0,1.9,Midwest,95.3,R,R
1,C,72.0,190.0,7.05,79.0,2.0,South,96.7,R,L
0,C,74.0,195.0,7.29,80.0,2.0,South,98.9,R,L
0,C,70.0,180.0,7.21,72.0,2.0,Northeast,89.9,R,R
0,C,71.0,187.0,7.12,81.0,2.1,South,85.0,R,R
1,C,74.0,180.0,7.03,82.0,2.0,Midwest,89.4,R,R
0,C,73.0,180.0,7.92,77.0,1.9,South,83.0,R,R
0,C,71.0,190.0,7.503847599029541,75.0,2.0,West,91.0,R,R
1,C,74.0,205.0,7.17,74.0,2.2,South,89.0,R,R
0,C,74.0,185.0,7.3,78.0,2.1,South,91.3,R,R
0,C,71.0,209.0,7.15,81.0,1.9,South,102.8,R,R
1,C,74.0,170.0,7.45,75.0,2.1,West,93.4219970703125,R,R
0,C,76.0,215.0,7.35,81.0,2.0,Midwest,99.2,R,S
0,C,69.0,196.0,7.43,76.0,2.0,South,97.1,R,R
0,C,71.0,205.0,7.39,74.0,2.1,South,95.2,R,R
0,C,73.0,185.0,7.216116905212402,79.0,2.1,South,88.0,R,R
0,C,73.0,215.0,7.61,75.0,2.0,South,94.2,R,L
1,C,70.0,190.0,7.34,80.0,2.0,South,100.0,R,S
1,C,74.0,205.0,7.18,76.0,1.9,South,95.4,R,R
1,C,72.0,205.0,8.27,76.0,2.1,Northeast,85.1,R,R
0,C,70.0,185.0,7.35,77.0,1.9,Northeast,92.2,R,R
0,C,70.0,165.0,7.15,80.0,2.0,Northeast,85.0,R,R
0,C,75.0,230.0,7.75,78.0,2.2,South,84.2,R,R
0,C,77.0,220.0,6.91,75.0,2.0,South,96.8,R,R
0,C,75.0,210.0,7.88,80.0,2.1,South,97.6,R,L
0,C,72.0,195.0,7.4,76.0,1.9,West,93.6,R,R
1,C,72.0,190.0,7.02,80.0,2.0,Midwest,92.5,R,R
1,C,73.0,185.0,7.41,78.0,2.0,South,89.0,R,R
0,C,71.0,205.0,7.23,76.0,2.0,Northeast,90.0,R,R
0,C,69.0,168.0,6.91,86.0,1.9,South,96.5,R,R
0,C,72.0,180.0,7.51,74.0,2.0,South,83.0,R,R
0,C,73.0,200.0,7.09,80.0,2.0,Northeast,98.9,R,R
1,C,70.0,180.0,7.2,80.0,2.0,West,93.9,R,L
0,C,70.0,193.0,7.41,80.0,2.0,South,98.5,R,R
0,C,69.0,181.0,7.49,76.0,2.0,South,93.9,R,L
0,C,74.0,185.0,7.3,78.0,2.0,South,93.3,R,R
0,C,71.0,181.2,7.3,81.0,1.9,Northeast,92.1,R,R
1,C,76.0,237.0,7.38,82.0,2.0,Midwest,103.0,R,S
0,C,73.0,170.0,7.06,76.0,2.1,West,96.7,R,L
0,C,74.0,185.0,7.2,81.0,2.2,Midwest,87.0,R,R
0,C,71.0,180.0,6.85,82.0,2.1,Northeast,91.5,R,R
0,C,69.0,183.6,7.35,80.0,1.9,Northeast,96.5,R,R
1,C,68.0,175.0,7.1,75.0,2.0,West,98.9,R,L
0,C,71.0,160.0,7.4,77.0,2.1,Northeast,77.2,R,R
0,C,72.0,195.0,7.42,80.0,2.0,Northeast,88.9,R,R
0,C,67.0,159.0,7.17,75.0,2.1,Midwest,90.9,R,R
0,C,71.0,200.0,7.4,85.0,1.9,Midwest,93.7,R,R
0,C,75.0,186.1,7.52,81.0,2.0,West,100.2,R,R
0,C,74.0,195.0,7.44,78.0,1.9,Midwest,95.0,R,L
0,C,74.0,193.0,6.9,80.0,2.0,Northeast,96.1,R,L
0,C,69.0,180.0,7.42,78.0,2.0,South,90.0,R,R
0,C,74.0,205.0,7.47,80.0,2.0,South,96.9,R,R
0,C,73.0,210.0,7.69,79.0,2.0,Midwest,95.3,R,L
1,C,71.0,195.0,7.5,75.0,2.0,South,96.4,R,L
1,C,73.0,205.0,6.62,82.0,2.0,South,100.2,R,R
1,C,72.0,185.9,6.57,80.0,1.9,South,103.7,R,R
1,C,72.0,200.0,7.23,76.0,2.0,Midwest,89.0,R,R
0,C,72.0,180.0,6.85,79.0,2.0,South,91.0,R,R
0,C,71.0,170.0,6.9,80.0,1.9,South,99.8,R,R
0,C,68.0,162.0,7.31,67.0,2.1,Northeast,87.4,R,R
0,C,68.0,185.0,8.1,68.0,2.1,South,91.17739868164062,R,S
0,C,71.0,175.0,7.19,74.0,2.1,South,92.0,R,L
0,C,72.0,210.0,7.55,79.0,2.0,South,96.0,R,R
0,C,71.0,185.0,7.12,80.0,2.0,South,99.4,R,R
1,C,75.0,200.0,8.04,73.0,2.0,South,88.0,R,R
0,C,71.0,195.0,7.25,76.0,2.0,South,92.0,R,R
0,C,72.0,180.0,7.59,79.0,2.0,South,97.8,R,R
0,C,75.0,188.0,7.19,78.0,2.0,Midwest,96.4,R,R
0,C,71.0,190.0,7.46,78.0,2.0,Midwest,93.6,R,L
1,C,72.0,190.0,7.32,78.0,1.9,South,89.0,R,R
0,C,75.0,205.0,7.52,68.0,2.2,South,80.0,R,R
0,C,72.0,205.0,7.26,82.0,1.9,Northeast,97.6,R,R
0,C,72.0,185.0,7.62,77.0,2.1,West,91.2,R,R
