d1_or_not,primary_position,height,weight,sixty_time,c_velo,pop_time,player_region,exit_velo_max,throwing_hand,hitting_handedness
0,C,73.0,195.0,7.1,81.0,2.1,South,93.9,R,R
0,C,75.0,175.0,7.43,70.0,2.1,South,89.6,R,R
0,C,73.0,210.0,7.53,73.0,2.0,Midwest,94.0,R,R
1,C,69.0,175.0,8.0,70.0,2.1,Northeast,89.3,R,L
0,C,74.0,180.0,7.52,82.0,2.0,South,94.6,R,R
0,C,74.0,185.0,7.35,81.0,2.1,South,92.7,R,R
0,C,70.0,165.0,7.53,72.0,2.2,Midwest,81.0,R,R
0,C,69.0,170.0,8.02,76.0,2.0,South,88.7,R,R
0,C,73.0,190.0,7.58,76.0,1.9,South,88.0,R,R
0,C,71.0,170.0,7.44,74.0,2.2,Midwest,87.8,R,R
0,C,70.0,195.0,7.8,73.0,2.1,South,81.6,R,R
0,C,72.0,200.0,7.56,72.0,2.0,Midwest,90.8,R,R
0,C,70.0,154.0,8.1,70.0,2.2,South,78.0,R,R
1,C,75.0,232.0,6.75,76.0,2.0,South,102.3,R,R
1,C,74.0,225.0,6.89,81.0,1.9,Midwest,95.8,R,R
1,C,75.0,190.0,7.41,75.0,2.0,West,92.9,R,L
0,C,72.0,180.0,7.61,78.0,2.0,Northeast,88.9,R,R
0,C,70.0,185.0,7.95,80.0,2.0,Midwest,92.8,R,R
0,C,73.0,215.0,7.51,75.0,2.0,South,89.0,R,R
1,C,71.0,182.0,7.34,79.0,1.9,Northeast,93.7,R,R
0,C,72.0,248.7,7.59,78.0,2.0,South,95.9,R,R
0,C,68.0,157.0,7.58,73.0,2.1,Midwest,86.7,R,R
0,C,71.0,155.0,7.41,77.0,2.1,South,85.7,R,R
0,C,73.0,175.0,7.58,71.0,2.2,South,84.5,R,S
0,C,70.0,190.0,7.03,78.0,2.0,Northeast,95.3,R,L
0,C,70.0,175.0,7.87,68.0,2.0,Northeast,87.8,R,R
0,C,72.0,190.0,7.47,77.0,2.0,South,98.3,R,R
0,C,74.0,180.0,7.32,73.0,2.2,Midwest,87.2,R,R
0,C,72.0,185.0,8.05,68.0,2.2,South,79.2,R,L
0,C,74.0,170.0,7.3,68.0,2.0,Midwest,84.0,R,S
0,C,73.0,167.0,7.42,78.0,2.2,South,87.0,R,R
1,C,72.0,187.4,7.25,79.0,2.0,South,94.4,R,R
0,C,73.0,180.0,7.0,76.0,2.0,Midwest,93.5,R,R
1,C,70.0,195.0,7.0481157302856445,76.0,2.0,Northeast,92.4,R,L
0,C,70.0,175.0,7.92,69.0,2.2,Northeast,84.1,R,S
1,C,71.0,175.0,7.73,73.0,2.1,West,86.0,R,R
1,C,69.0,180.0,7.02,78.0,2.0,West,98.4,R,R
1,C,72.0,200.0,7.34,79.0,1.9,South,95.7,R,R
0,C,70.0,175.0,7.14,73.0,2.0,South,88.4,R,R
0,C,72.0,190.0,7.17,77.0,2.2,Midwest,96.4,R,R
1,C,68.0,159.5,7.31,77.0,2.0,Northeast,90.4,R,L
0,C,75.0,180.0,7.38,75.0,2.1,West,85.5,R,L
0,C,70.0,170.0,7.84,73.0,2.1,Midwest,75.0,R,R
0,C,71.0,160.0,7.63,72.0,2.2,South,83.0,R,R
0,C,72.0,180.0,6.99,65.0,2.1,West,92.1,R,R
0,C,70.0,185.0,7.57,74.0,2.1,Northeast,89.3,R,R
0,C,72.0,200.0,7.01,74.0,2.1,South,87.8,R,L
1,C,72.0,165.0,7.71,78.0,2.0,Northeast,87.0,R,R
0,C,71.0,195.0,7.63,78.0,2.0,Midwest,94.2,R,R
0,C,70.0,165.0,7.55,76.0,2.2,Midwest,87.7,R,R
0,C,72.0,175.0,6.9,78.0,2.0,Midwest,94.1,R,R
0,C,73.0,193.0,7.71,76.0,2.2,Midwest,95.2,R,R
0,C,70.0,180.0,7.81,72.0,2.0,Northeast,85.3,R,R
0,C,73.0,205.0,7.73,78.0,2.2,Northeast,94.0,R,R
1,C,70.0,187.0,6.7,84.0,1.9,Midwest,101.2,R,R
1,C,70.0,187.0,6.7,84.0,1.9,Midwest,101.2,R,R
0,C,70.0,175.0,7.58,68.0,2.1,West,84.0,R,R
0,C,73.0,165.0,6.94,78.0,2.1,Northeast,84.0,R,L
0,C,70.0,185.0,7.35,72.0,2.1,West,95.8,R,R
0,C,75.0,185.0,7.56,70.0,2.2,West,89.6,R,R
0,C,72.0,160.0,7.23,71.0,2.1,South,89.6,R,R
1,C,72.0,205.0,7.151543140411377,78.0,1.9,South,94.0,R,R
1,C,73.0,210.0,7.2,79.0,1.9,South,99.7,R,R
0,C,71.0,185.0,7.5,70.0,2.1,Northeast,83.3,R,R
0,C,72.0,185.0,7.7,74.0,2.2,Northeast,85.1,R,R
0,C,69.0,165.0,7.61,75.0,2.1,South,93.0,R,R
1,C,72.0,190.0,7.12,78.0,1.9,South,94.31838989257812,R,R
0,C,71.0,185.0,7.13,74.0,2.2,South,90.4,R,R
0,C,69.0,170.0,7.68,76.0,2.0,Midwest,89.8,R,R
1,C,67.0,160.0,7.12,73.0,2.0,South,94.0,R,L
0,C,69.0,175.0,7.21,73.0,2.1,Midwest,89.6,R,R
1,C,74.0,205.0,6.69,86.0,1.9,Midwest,103.6,R,R
1,C,73.0,175.0,7.15,77.0,2.0,West,90.2,R,R
1,C,69.0,165.0,8.41,68.0,2.2,Northeast,84.0,R,R
0,C,71.0,180.0,7.54,72.0,2.4,Midwest,88.1,R,R
1,C,72.0,175.0,7.01,72.0,2.0,South,92.7,R,R
1,C,73.0,190.0,7.38,79.0,2.0,Midwest,92.2,R,L
0,C,70.0,175.0,7.47,71.0,2.2,South,87.1,R,R
0,C,72.0,180.0,7.0,80.0,1.9,Midwest,94.5,R,R
1,C,72.0,180.0,7.63,79.0,2.0,Midwest,88.5,R,L
1,C,73.0,198.0,7.47,75.0,2.0,South,92.4,R,R
0,C,72.0,169.0,7.24,74.0,2.1,South,88.4,R,R
0,C,75.0,200.0,7.99,69.0,2.1,South,82.0,R,R
0,C,74.0,174.8,7.13,78.0,2.0,South,99.1,R,L
0,C,72.0,190.0,7.13,74.0,2.0,South,89.0,R,R
0,C,72.0,185.0,7.75,70.0,2.2,Northeast,89.6,R,R
0,C,70.0,155.0,6.885525703430176,68.0,2.1,Midwest,93.4016571044922,R,R
0,C,67.0,180.0,7.82,63.0,2.3,West,63.0,R,R
1,C,74.0,175.0,6.94,80.0,1.9,South,88.5,R,R
0,C,72.0,188.0,7.28,77.0,2.1,Midwest,94.8,R,R
1,C,71.0,170.0,7.15,81.0,1.9,South,97.5,R,R
1,C,74.0,190.0,7.16,79.0,1.9,South,93.1,R,R
0,C,73.0,195.0,7.25,80.0,2.0,West,93.3,R,R
0,C,71.0,185.0,7.02,69.0,2.2,Midwest,95.7,R,R
0,C,70.0,175.0,7.76,74.0,2.0,Northeast,88.9,R,R
1,C,72.0,160.0,6.75,77.0,2.0,South,93.6,R,R
0,C,74.0,215.0,7.81,73.0,2.0,South,88.0,R,R
0,C,72.0,158.0,7.45,73.0,2.1,Midwest,88.5,R,R
0,C,68.0,150.0,6.92,75.0,2.0,West,88.9,R,R
1,C,68.0,155.6,7.01,76.0,1.9,Northeast,91.7,R,L
1,C,72.0,185.0,6.99,75.0,1.9,South,92.0,R,R
0,C,68.0,170.0,7.4,73.0,2.0,Midwest,93.1,R,R
0,C,72.0,195.0,8.2,65.0,2.3,South,93.30396270751952,R,R
1,C,69.0,165.0,7.12,73.0,2.0,Northeast,89.8,R,R
0,C,69.0,160.0,7.7,77.0,2.1,South,88.4,R,R
0,C,75.0,210.0,7.24,82.0,2.0,Northeast,98.9,R,R
0,C,69.0,175.0,7.35,77.0,2.0,Midwest,90.3,R,R
0,C,70.0,155.0,7.44,74.0,2.1,Midwest,85.9,R,L
0,C,72.0,200.0,7.51,75.0,2.1,Midwest,91.4,R,R
0,C,70.0,185.0,7.96,75.0,2.0,Midwest,90.1,R,R
0,C,70.0,170.0,7.4,76.0,1.9,Midwest,90.8,R,R
0,C,73.0,160.0,7.35,77.0,2.0,South,88.9,L,R
1,C,73.0,200.0,6.86,82.0,2.0,Midwest,101.5,R,L
0,C,69.0,160.0,7.172637939453125,75.0,2.1,South,83.0,R,R
0,C,72.0,182.1,7.88,77.0,2.2,Midwest,90.6,R,R
0,C,70.0,190.0,7.93,72.0,2.0,Midwest,95.6,R,R
0,C,71.0,160.0,7.71,76.0,2.1,South,88.0,R,S
0,C,67.0,165.0,7.22,72.0,2.0,Northeast,92.0,R,L
1,C,68.0,182.5,6.97,80.0,2.0,Midwest,101.5,R,L
1,C,71.0,180.0,7.19,80.0,2.0,South,92.0,R,R
0,C,71.0,175.0,7.0,76.0,2.0,South,86.9,R,R
0,C,72.0,150.0,7.17,75.0,2.2,Northeast,83.2,R,R
0,C,71.0,185.0,7.16,75.0,2.2,Midwest,84.0,R,R
0,C,69.0,145.0,7.3,72.0,2.1,Northeast,86.2,R,R
0,C,72.0,175.0,7.29,78.0,1.9,South,90.9,R,R
1,C,76.0,185.0,7.21,73.0,2.1,West,93.3,R,R
0,C,72.0,169.5,6.94,80.0,2.0,Northeast,94.4,R,R
0,C,73.0,208.0,6.92,81.0,2.1,South,95.0,R,R
0,C,70.0,187.0,7.53,74.0,2.0,Northeast,91.3,R,R
0,C,70.0,195.0,7.46,77.0,1.9,Midwest,93.1,R,R
0,C,71.0,170.0,7.709232330322266,73.0,2.1,Midwest,80.0,R,S
0,C,71.0,180.0,7.22,70.0,1.9,Midwest,84.1,R,L
1,C,71.0,185.0,7.04,80.0,2.0,South,98.0,R,R
1,C,73.0,195.0,7.34,79.0,2.0,South,97.6,R,R
0,C,70.0,185.0,7.44,77.0,2.0,South,92.5,R,R
0,C,72.0,170.0,7.11,75.0,2.0,West,93.3,R,L
